Date,>1 MeV,>10 MeV,>100 MeV,>0.6 MeV,>2 MeV,Neutron Monitor % of bkgd
01 Jan 96,870000.0,17000.0,4000.0,0.0,9700000.0,*
02 Jan 96,990000.0,16000.0,3800.0,0.0,9400000.0,0.4 %
03 Jan 96,450000.0,16000.0,3800.0,0.0,5600000.0,0.2 %
04 Jan 96,-100000.0,-100000.0,-100000.0,0.0,-100000.0,*
05 Jan 96,-100000.0,-100000.0,-100000.0,0.0,-100000.0,*
06 Jan 96,420000.0,18000.0,4100.0,0.0,3300000.0,0.6 %
07 Jan 96,300000.0,17000.0,4100.0,0.0,3400000.0,0.4 %
08 Jan 96,360000.0,18000.0,4100.0,0.0,3400000.0,0.4 %
09 Jan 96,420000.0,18000.0,4200.0,0.0,3500000.0,0.5 %
10 Jan 96,640000.0,18000.0,4000.0,0.0,3200000.0,0.0 %
11 Jan 96,700000.0,18000.0,4000.0,0.0,2100000.0,-0.1 %
12 Jan 96,540000.0,18000.0,3700.0,0.0,1700000.0,0.1 %
13 Jan 96,190000.0,18000.0,3900.0,0.0,1500000.0,0.1 %
14 Jan 96,1100000.0,17000.0,3800.0,0.0,1600000.0,-0.3 %
15 Jan 96,1000000.0,17000.0,3900.0,0.0,120000000.0,-0.2 %
16 Jan 96,-100000.0,-100000.0,-100000.0,0.0,-100000.0,*
17 Jan 96,810000.0,17000.0,3600.0,0.0,97000000.0,0.2 %
18 Jan 96,610000.0,17000.0,3800.0,0.0,53000000.0,0.5 %
19 Jan 96,840000.0,18000.0,3800.0,0.0,63000000.0,0.6 %
20 Jan 96,650000.0,17000.0,3700.0,0.0,2800000.0,-0.3 %
21 Jan 96,130000.0,17000.0,3600.0,0.0,2400000.0,-0.5 %
22 Jan 96,220000.0,17000.0,3800.0,0.0,3200000.0,-0.1 %
23 Jan 96,170000.0,18000.0,3900.0,0.0,3200000.0,-0.3 %
24 Jan 96,230000.0,17000.0,3800.0,0.0,3100000.0,-0.3 %
25 Jan 96,180000.0,18000.0,3900.0,0.0,2100000.0,-0.2 %
26 Jan 96,270000.0,17000.0,3800.0,0.0,2200000.0,0.1 %
27 Jan 96,140000.0,17000.0,3900.0,0.0,2600000.0,0.6 %
28 Jan 96,210000.0,18000.0,4000.0,0.0,2700000.0,0.8 %
29 Jan 96,940000.0,17000.0,3900.0,0.0,25000000.0,0.5 %
30 Jan 96,240000.0,17000.0,3700.0,0.0,32000000.0,-0.3 %
31 Jan 96,-100000.0,-100000.0,-100000.0,0.0,-100000.0,*
01 Feb 96,-100000.0,-100000.0,-100000.0,0.0,-100000.0,*
02 Feb 96,490000.0,18000.0,4200.0,0.0,22000000.0,0.1 %
03 Feb 96,660000.0,18000.0,4200.0,0.0,14000000.0,0.4 %
04 Feb 96,-100000.0,-100000.0,-100000.0,0.0,-100000.0,*
05 Feb 96,-100000.0,-100000.0,-100000.0,0.0,-100000.0,*
06 Feb 96,-100000.0,-100000.0,-100000.0,0.0,-100000.0,*
07 Feb 96,430000.0,18000.0,4200.0,0.0,3900000.0,0.4 %
08 Feb 96,940000.0,18000.0,3900.0,0.0,3100000.0,0.3 %
09 Feb 96,290000.0,17000.0,4100.0,0.0,2600000.0,-0.3 %
10 Feb 96,470000.0,18000.0,4200.0,0.0,2200000.0,-0.1 %
11 Feb 96,210000.0,17000.0,3700.0,0.0,5300000.0,-0.5 %
12 Feb 96,470000.0,18000.0,4000.0,0.0,30000000.0,-0.4 %
13 Feb 96,1400000.0,17000.0,3700.0,0.0,130000000.0,0.1 %
14 Feb 96,400000.0,17000.0,3900.0,0.0,150000000.0,0.2 %
15 Feb 96,230000.0,17000.0,4000.0,0.0,170000000.0,0.0 %
16 Feb 96,470000.0,17000.0,3700.0,0.0,39000000.0,-1.1 %
17 Feb 96,90000.0,17000.0,3800.0,0.0,15000000.0,-0.5 %
18 Feb 96,350000.0,18000.0,3800.0,0.0,15000000.0,-0.6 %
19 Feb 96,140000.0,16000.0,3800.0,0.0,6100000.0,-0.3 %
20 Feb 96,-100000.0,-100000.0,-100000.0,0.0,-100000.0,*
21 Feb 96,160000.0,17000.0,3600.0,0.0,32000000.0,-0.7 %
22 Feb 96,85000.0,16000.0,3700.0,0.0,11000000.0,-0.2 %
23 Feb 96,340000.0,16000.0,3600.0,0.0,4600000.0,-0.3 %
24 Feb 96,520000.0,17000.0,3500.0,0.0,6900000.0,-0.3 %
25 Feb 96,220000.0,17000.0,3500.0,0.0,23000000.0,-0.2 %
26 Feb 96,210000.0,17000.0,3900.0,0.0,42000000.0,-0.3 %
27 Feb 96,-100000.0,-100000.0,-100000.0,0.0,-100000.0,*
28 Feb 96,85000.0,17000.0,3900.0,0.0,17000000.0,-0.1 %
29 Feb 96,240000.0,18000.0,4000.0,0.0,52000000.0,-0.2 %
01 Mar 96,160000.0,16000.0,4100.0,0.0,38000000.0,-0.3 %
02 Mar 96,200000.0,18000.0,4000.0,0.0,37000000.0,0.2 %
03 Mar 96,240000.0,18000.0,4300.0,0.0,10000000.0,-0.2 %
04 Mar 96,71000.0,18000.0,4300.0,0.0,3300000.0,0.0 %
05 Mar 96,92000.0,18000.0,4500.0,0.0,5700000.0,-0.1 %
06 Mar 96,110000.0,18000.0,4600.0,0.0,5500000.0,0.2 %
07 Mar 96,-100000.0,-100000.0,-100000.0,0.0,-100000.0,*
08 Mar 96,140000.0,18000.0,4400.0,0.0,2500000.0,-0.3 %
09 Mar 96,150000.0,19000.0,4300.0,0.0,2100000.0,-0.1 %
10 Mar 96,160000.0,19000.0,4400.0,0.0,2200000.0,0.2 %
11 Mar 96,330000.0,18000.0,4200.0,0.0,21000000.0,0.0 %
12 Mar 96,360000.0,17000.0,4100.0,0.0,320000000.0,-0.3 %
13 Mar 96,970000.0,17000.0,3800.0,0.0,180000000.0,-0.4 %
14 Mar 96,300000.0,18000.0,3800.0,0.0,660000000.0,-0.3 %
15 Mar 96,190000.0,17000.0,3700.0,0.0,930000000.0,-0.4 %
16 Mar 96,340000.0,17000.0,3900.0,0.0,200000000.0,-1.0 %
17 Mar 96,310000.0,17000.0,3500.0,0.0,110000000.0,-0.3 %
18 Mar 96,360000.0,17000.0,3500.0,0.0,230000000.0,-0.1 %
19 Mar 96,320000.0,17000.0,3500.0,0.0,120000000.0,-0.4 %
20 Mar 96,500000.0,17000.0,3700.0,0.0,39000000.0,-0.1 %
21 Mar 96,6800000.0,17000.0,3500.0,0.0,240000000.0,0.3 %
22 Mar 96,330000.0,17000.0,3400.0,0.0,380000000.0,0.1 %
23 Mar 96,300000.0,16000.0,3600.0,0.0,1200000000.0,0.3 %
24 Mar 96,370000.0,17000.0,3600.0,0.0,140000000.0,0.2 %
25 Mar 96,510000.0,17000.0,3700.0,0.0,67000000.0,-0.1 %
26 Mar 96,350000.0,17000.0,3700.0,0.0,310000000.0,-0.1 %
27 Mar 96,420000.0,18000.0,3900.0,0.0,450000000.0,0.0 %
28 Mar 96,210000.0,17000.0,4100.0,0.0,310000000.0,-0.2 %
29 Mar 96,230000.0,18000.0,3900.0,0.0,420000000.0,0.1 %
30 Mar 96,420000.0,17000.0,4200.0,0.0,330000000.0,0.2 %
31 Mar 96,360000.0,18000.0,4200.0,0.0,120000000.0,0.1 %
01 Apr 96,620000.0,19000.0,4300.0,9400000000.0,13000000.0,0.1 %
02 Apr 96,760000.0,18000.0,4300.0,7900000000.0,15000000.0,0.0 %
03 Apr 96,780000.0,19000.0,4500.0,7000000000.0,7500000.0,0.3 %
04 Apr 96,1300000.0,19000.0,4600.0,4700000000.0,1900000.0,0.2 %
05 Apr 96,370000.0,20000.0,4500.0,13000000000.0,2700000.0,0.5 %
06 Apr 96,350000.0,19000.0,4900.0,14000000000.0,3100000.0,0.5 %
07 Apr 96,370000.0,20000.0,5000.0,12000000000.0,3600000.0,0.2 %
08 Apr 96,460000.0,19000.0,4700.0,9900000000.0,2600000.0,-0.4 %
09 Apr 96,880000.0,19000.0,4400.0,4300000000.0,750000.0,-0.5 %
10 Apr 96,450000.0,18000.0,4200.0,22000000000.0,3100000.0,-0.4 %
11 Apr 96,630000.0,17000.0,4200.0,17000000000.0,4400000.0,-0.9 %
12 Apr 96,2400000.0,18000.0,4000.0,24000000000.0,49000000.0,-0.6 %
13 Apr 96,710000.0,17000.0,3900.0,45000000000.0,140000000.0,-0.5 %
14 Apr 96,600000.0,17000.0,4100.0,7800000000.0,13000000.0,-0.1 %
15 Apr 96,6900000.0,16000.0,4100.0,48000000000.0,300000000.0,-0.6 %
16 Apr 96,3500000.0,16000.0,4100.0,65000000000.0,1400000000.0,-0.5 %
17 Apr 96,12000000.0,17000.0,3900.0,32000000000.0,390000000.0,0.0 %
18 Apr 96,54000000.0,17000.0,3900.0,39000000000.0,830000000.0,0.2 %
19 Apr 96,69000000.0,16000.0,3700.0,39000000000.0,1400000000.0,0.1 %
20 Apr 96,24000000.0,17000.0,4000.0,45000000000.0,1800000000.0,0.5 %
21 Apr 96,16000000.0,17000.0,4200.0,45000000000.0,1900000000.0,0.8 %
22 Apr 96,860000.0,17000.0,4200.0,39000000000.0,1200000000.0,0.0 %
23 Apr 96,1200000.0,16000.0,4400.0,30000000000.0,870000000.0,0.1 %
24 Apr 96,1000000.0,18000.0,4400.0,31000000000.0,840000000.0,-0.1 %
25 Apr 96,810000.0,18000.0,4600.0,17000000000.0,340000000.0,-0.2 %
26 Apr 96,560000.0,18000.0,4300.0,15000000000.0,310000000.0,0.1 %
27 Apr 96,1200000.0,18000.0,4300.0,15000000000.0,410000000.0,-0.3 %
28 Apr 96,550000.0,18000.0,4600.0,4200000000.0,9500000.0,-0.9 %
29 Apr 96,520000.0,17000.0,4200.0,4200000000.0,22000000.0,-0.4 %
30 Apr 96,660000.0,18000.0,4600.0,4000000000.0,26000000.0,-0.1 %
01 May 96,670000.0,19000.0,4700.0,4500000000.0,18000000.0,-0.1 %
02 May 96,740000.0,18000.0,4600.0,4100000000.0,15000000.0,0.0 %
03 May 96,990000.0,18000.0,4500.0,2800000000.0,15000000.0,-0.2 %
04 May 96,690000.0,19000.0,5100.0,2500000000.0,17000000.0,0.2 %
05 May 96,730000.0,20000.0,4900.0,7500000000.0,11000000.0,0.1 %
06 May 96,870000.0,18000.0,4300.0,6900000000.0,12000000.0,0.6 %
07 May 96,730000.0,18000.0,4100.0,4500000000.0,15000000.0,0.1 %
08 May 96,580000.0,18000.0,4300.0,1300000000.0,7200000.0,0.4 %
09 May 96,490000.0,18000.0,4000.0,1500000000.0,10000000.0,-0.6 %
10 May 96,590000.0,18000.0,4000.0,1400000000.0,11000000.0,0.0 %
11 May 96,550000.0,17000.0,4100.0,830000000.0,4000000.0,0.1 %
12 May 96,740000.0,17000.0,3800.0,760000000.0,4100000.0,-0.1 %
13 May 96,740000.0,16000.0,3900.0,1600000000.0,1300000.0,0.7 %
14 May 96,750000.0,17000.0,3900.0,19000000000.0,5300000.0,0.7 %
15 May 96,340000.0,16000.0,3800.0,6300000000.0,1500000.0,1.1 %
16 May 96,580000.0,17000.0,4100.0,21000000000.0,8000000.0,1.3 %
17 May 96,1000000.0,17000.0,4100.0,19000000000.0,7400000.0,1.1 %
18 May 96,740000.0,17000.0,4000.0,28000000000.0,11000000.0,1.0 %
19 May 96,1100000.0,17000.0,4100.0,27000000000.0,11000000.0,0.9 %
20 May 96,1400000.0,18000.0,4000.0,14000000000.0,4500000.0,0.6 %
21 May 96,650000.0,18000.0,4000.0,17000000000.0,5300000.0,0.3 %
22 May 96,640000.0,17000.0,4200.0,19000000000.0,6800000.0,0.6 %
23 May 96,630000.0,17000.0,4100.0,7700000000.0,2700000.0,0.4 %
24 May 96,620000.0,17000.0,4200.0,6900000000.0,1500000.0,0.3 %
25 May 96,650000.0,17000.0,4200.0,6800000000.0,1200000.0,0.1 %
26 May 96,480000.0,18000.0,4100.0,4100000000.0,580000.0,0.1 %
27 May 96,710000.0,18000.0,4200.0,7700000000.0,1500000.0,-0.1 %
28 May 96,240000.0,18000.0,4200.0,12000000000.0,1800000.0,0.1 %
